region,date,metrics,type,value,value1
HQ,1994_7,SD,GWRMP,8.0887,9.302005
HQ,1994_8,SD,GWRMP,9.7057,11.161555
HQ,1994_9,SD,GWRMP,5.6791,6.530965
HQ,1995_5,SD,GWRMP,5.4246,6.23829
HQ,1995_6,SD,GWRMP,18.0808,20.79292
HQ,1995_7,SD,GWRMP,7.7227,8.881105
HQ,1995_8,SD,GWRMP,11.1122,12.77903
HQ,1995_9,SD,GWRMP,2.0392,2.34508
HQ,1996_5,SD,GWRMP,4.7403,5.451345
HQ,1996_6,SD,GWRMP,37.6108,43.25242
HQ,1996_7,SD,GWRMP,16.9182,19.45593
HQ,1996_8,SD,GWRMP,11.2022,12.88253
HQ,1996_9,SD,GWRMP,4.8878,5.62097
HQ,1997_5,SD,GWRMP,14.8978,17.13247
HQ,1997_6,SD,GWRMP,11.3494,13.05181
HQ,1997_7,SD,GWRMP,28.7693,33.084695
HQ,1997_8,SD,GWRMP,19.8028,22.77322
HQ,1997_9,SD,GWRMP,6.7815,7.798725
HQ,1998_5,SD,GWRMP,11.7367,13.497205
HQ,1998_6,SD,GWRMP,9.691,11.14465
HQ,1998_7,SD,GWRMP,9.4429,10.859335
HQ,1998_8,SD,GWRMP,20.0043,23.004945
HQ,1998_9,SD,GWRMP,15.6445,17.991175
HQ,1999_5,SD,GWRMP,5.5372,6.36778
HQ,1999_6,SD,GWRMP,57.7422,66.40353
HQ,1999_7,SD,GWRMP,11.0324,12.68726
HQ,1999_8,SD,GWRMP,15.4631,17.782565
HQ,1999_9,SD,GWRMP,16.7848,19.30252
HQ,2000_5,SD,GWRMP,10.49,12.0635
HQ,2000_6,SD,GWRMP,12.2639,14.103485
HQ,2000_7,SD,GWRMP,10.1177,11.635355
HQ,2000_8,SD,GWRMP,6.0411,6.947265
HQ,2000_9,SD,GWRMP,7.7033,8.858795
HQ,2001_5,SD,GWRMP,8.5449,9.826635
HQ,2001_6,SD,GWRMP,16.2741,18.715215
HQ,2001_7,SD,GWRMP,14.9361,17.176515
HQ,2001_8,SD,GWRMP,13.3154,15.31271
HQ,2001_9,SD,GWRMP,5.9445,6.836175
HQ,2002_5,SD,GWRMP,10.469,12.03935
HQ,2002_6,SD,GWRMP,25.6955,29.549825
HQ,2002_7,SD,GWRMP,14.4179,16.580585
HQ,2002_8,SD,GWRMP,20.7456,23.85744
HQ,2002_9,SD,GWRMP,4.5088,5.18512
HQ,2003_5,SD,GWRMP,6.8882,7.92143
HQ,2003_6,SD,GWRMP,16.8715,19.402225
HQ,2003_7,SD,GWRMP,38.3869,44.144935
HQ,2003_8,SD,GWRMP,13.9226,16.01099
HQ,2003_9,SD,GWRMP,9.5437,10.975255
HQ,2004_5,SD,GWRMP,10.1781,11.704815
HQ,2004_6,SD,GWRMP,13.5813,15.618495
HQ,2004_7,SD,GWRMP,10.3056,11.85144
HQ,2004_8,SD,GWRMP,4.0998,4.71477
HQ,2004_9,SD,GWRMP,11.8541,13.632215
HQ,2005_5,SD,GWRMP,14.8069,17.027935
HQ,2005_6,SD,GWRMP,11.4906,13.21419
HQ,2005_7,SD,GWRMP,33.5142,38.54133
HQ,2005_8,SD,GWRMP,11.3309,13.030535
HQ,2005_9,SD,GWRMP,7.7322,8.89203
HQ,2006_5,SD,GWRMP,11.961,13.75515
HQ,2006_6,SD,GWRMP,9.796,11.2654
HQ,2006_7,SD,GWRMP,30.3833,34.940795
HQ,2006_8,SD,GWRMP,7.6279,8.772085
HQ,2006_9,SD,GWRMP,8.0487,9.256005
HQ,2007_5,SD,GWRMP,10.4321,11.996915
HQ,2007_6,SD,GWRMP,9.8544,11.33256
HQ,2007_7,SD,GWRMP,36.1515,41.574225
HQ,2007_8,SD,GWRMP,11.8549,13.633135
HQ,2007_9,SD,GWRMP,18.0208,20.72392
HQ,2008_5,SD,GWRMP,10.4221,11.985415
HQ,2008_6,SD,GWRMP,28.39,32.6485
HQ,2008_7,SD,GWRMP,13.5066,15.53259
HQ,2008_8,SD,GWRMP,13.8206,15.89369
HQ,2008_9,SD,GWRMP,12.0466,13.85359
HQ,2009_5,SD,GWRMP,3.7934,4.36241
HQ,2009_6,SD,GWRMP,27.1071,31.173165
HQ,2009_7,SD,GWRMP,34.709,39.91535
HQ,2009_8,SD,GWRMP,19.7525,22.715375
HQ,2009_9,SD,GWRMP,6.2419,7.178185
HQ,2010_5,SD,GWRMP,10.9952,12.64448
HQ,2010_6,SD,GWRMP,11.5146,13.24179
HQ,2010_7,SD,GWRMP,33.4388,38.45462
HQ,2010_8,SD,GWRMP,12.6535,14.551525
HQ,2010_9,SD,GWRMP,13.5519,15.584685
HQ,2011_5,SD,GWRMP,5.9967,6.896205
HQ,2011_6,SD,GWRMP,32.5029,37.378335
HQ,2011_7,SD,GWRMP,20.2211,23.254265
HQ,2011_8,SD,GWRMP,33.7032,38.75868
HQ,2011_9,SD,GWRMP,4.7319,5.441685
HQ,2012_5,SD,GWRMP,21.9013,25.186495
HQ,2012_6,SD,GWRMP,27.9984,32.19816
HQ,2012_7,SD,GWRMP,13.7388,15.79962
HQ,2012_8,SD,GWRMP,49.8957,57.380055
HQ,2012_9,SD,GWRMP,20.5919,23.680685
HQ,2013_5,SD,GWRMP,11.7276,13.48674
HQ,2013_6,SD,GWRMP,12.6587,14.557505
HQ,2013_7,SD,GWRMP,24.376,28.0324
HQ,2013_8,SD,GWRMP,11.4917,13.215455
HQ,2013_9,SD,GWRMP,5.0718,5.83257
HQ,2014_5,SD,GWRMP,9.9089,11.395235
HQ,2014_6,SD,GWRMP,19.279,22.17085
HQ,2014_7,SD,GWRMP,30.1702,34.69573
HQ,2014_8,SD,GWRMP,12.4101,14.271615
HQ,2014_9,SD,GWRMP,10.8457,12.472555
HQ,2015_5,SD,GWRMP,17.8998,20.58477
HQ,2015_6,SD,GWRMP,60.0196,69.02254
HQ,2015_7,SD,GWRMP,15.4182,17.73093
HQ,2015_8,SD,GWRMP,14.6104,16.80196
HQ,2015_9,SD,GWRMP,11.7334,13.49341
HQ,2016_5,SD,GWRMP,15.9907,18.389305
HQ,2016_6,SD,GWRMP,23.9882,27.58643
HQ,2016_7,SD,GWRMP,52.879,60.81085
HQ,2016_8,SD,GWRMP,11.7614,13.52561
HQ,2016_9,SD,GWRMP,39.3133,45.210295
HX,1979_5,SD,GWRMP,10.4529,10.4529
HX,1979_6,SD,GWRMP,26.4576,26.4576
HX,1979_7,SD,GWRMP,37.3047,37.3047
HX,1979_8,SD,GWRMP,19.0886,19.0886
HX,1979_9,SD,GWRMP,14.9329,14.9329
HX,1980_5,SD,GWRMP,29.4769,29.4769
HX,1980_6,SD,GWRMP,16.726,16.726
HX,1980_7,SD,GWRMP,58.3905,58.3905
HX,1980_8,SD,GWRMP,93.3379,93.3379
HX,1980_9,SD,GWRMP,24.1307,24.1307
HX,1981_5,SD,GWRMP,21.8607,21.8607
HX,1981_6,SD,GWRMP,13.0403,13.0403
HX,1981_7,SD,GWRMP,19.7736,19.7736
HX,1981_8,SD,GWRMP,31.0222,31.0222
HX,1981_9,SD,GWRMP,17.2026,17.2026
HX,1982_5,SD,GWRMP,7.722,7.722
HX,1982_6,SD,GWRMP,24.8363,24.8363
HX,1982_7,SD,GWRMP,63.3814,63.3814
HX,1982_8,SD,GWRMP,16.7974,16.7974
HX,1982_9,SD,GWRMP,3.9519,3.9519
HX,1983_5,SD,GWRMP,27.1766,27.1766
HX,1983_6,SD,GWRMP,48.3879,48.3879
HX,1983_7,SD,GWRMP,13.2593,13.2593
HX,1983_8,SD,GWRMP,13.3741,13.3741
HX,1983_9,SD,GWRMP,54.0871,54.0871
HX,1984_5,SD,GWRMP,16.9913,16.9913
HX,1984_6,SD,GWRMP,57.7057,57.7057
HX,1984_7,SD,GWRMP,20.4067,20.4067
HX,1984_8,SD,GWRMP,9.9808,9.9808
HX,1984_9,SD,GWRMP,14.7395,14.7395
HX,1985_5,SD,GWRMP,10.5377,10.5377
HX,1985_6,SD,GWRMP,22.464,22.464
HX,1985_7,SD,GWRMP,27.6424,27.6424
HX,1985_8,SD,GWRMP,26.1174,26.1174
HX,1985_9,SD,GWRMP,21.0881,21.0881
HX,1986_5,SD,GWRMP,7.4433,7.4433
HX,1986_6,SD,GWRMP,31.5742,31.5742
HX,1986_7,SD,GWRMP,46.9784,46.9784
HX,1986_8,SD,GWRMP,13.9835,13.9835
HX,1986_9,SD,GWRMP,32.0244,32.0244
HX,1987_5,SD,GWRMP,18.3963,18.3963
HX,1987_6,SD,GWRMP,14.9715,14.9715
HX,1987_7,SD,GWRMP,29.189,29.189
HX,1987_8,SD,GWRMP,18.1508,18.1508
HX,1987_9,SD,GWRMP,27.7398,27.7398
HX,1988_5,SD,GWRMP,11.948,11.948
HX,1988_6,SD,GWRMP,27.9506,27.9506
HX,1988_7,SD,GWRMP,47.2713,47.2713
HX,1988_8,SD,GWRMP,16.2601,16.2601
HX,1988_9,SD,GWRMP,10.2195,10.2195
HX,1989_5,SD,GWRMP,18.7609,18.7609
HX,1989_6,SD,GWRMP,11.0344,11.0344
HX,1989_7,SD,GWRMP,41.1091,41.1091
HX,1989_8,SD,GWRMP,32.0812,32.0812
HX,1989_9,SD,GWRMP,40.1453,40.1453
HX,1990_5,SD,GWRMP,11.374,11.374
HX,1990_6,SD,GWRMP,14.0787,14.0787
HX,1990_7,SD,GWRMP,10.3874,10.3874
HX,1990_8,SD,GWRMP,37.1716,37.1716
HX,1990_9,SD,GWRMP,19.8538,19.8538
HX,1991_5,SD,GWRMP,11.3782,11.3782
HX,1991_6,SD,GWRMP,55.4427,55.4427
HX,1991_7,SD,GWRMP,54.8382,54.8382
HX,1991_8,SD,GWRMP,47.2751,47.2751
HX,1991_9,SD,GWRMP,17.9442,17.9442
HX,1992_5,SD,GWRMP,6.8062,6.8062
HX,1992_6,SD,GWRMP,12.7399,12.7399
HX,1992_7,SD,GWRMP,18.5233,18.5233
HX,1992_8,SD,GWRMP,31.4878,31.4878
HX,1992_9,SD,GWRMP,45.2833,45.2833
HX,1993_5,SD,GWRMP,12.3529,12.3529
HX,1993_6,SD,GWRMP,16.7122,16.7122
