region,date,metrics,type,value
HQ,1995_6,SF,GWRMP,6107.0662
HQ,1995_7,SF,GWRMP,6091.4556
HQ,1995_8,SF,GWRMP,6031.9147
HQ,1995_9,SF,GWRMP,5984.7481
HQ,1996_5,SF,GWRMP,5998.6697
HQ,1996_6,SF,GWRMP,6163.5726
HQ,1996_7,SF,GWRMP,6181.0342
HQ,1996_8,SF,GWRMP,6043.8869
HQ,1996_9,SF,GWRMP,5992.5396
HQ,1997_5,SF,GWRMP,6048.9101
HQ,1997_6,SF,GWRMP,6042.2313
HQ,1997_7,SF,GWRMP,6076.2618
HQ,1997_8,SF,GWRMP,6096.8777
HQ,1997_9,SF,GWRMP,5993.5738
HQ,1998_5,SF,GWRMP,6034.7603
HQ,1998_6,SF,GWRMP,6102.1748
HQ,1998_7,SF,GWRMP,6086.9536
HQ,1998_8,SF,GWRMP,6051.2786
HQ,1998_9,SF,GWRMP,6087.1433
HQ,1999_5,SF,GWRMP,6046.2408
HQ,1999_6,SF,GWRMP,6397.2371
HQ,1999_7,SF,GWRMP,6050.7745
HQ,1999_8,SF,GWRMP,6182.3411
HQ,1999_9,SF,GWRMP,6028.4522
HQ,2000_5,SF,GWRMP,6072.8806
HQ,2000_6,SF,GWRMP,6079.8669
HQ,2000_7,SF,GWRMP,6025.8827
HQ,2000_8,SF,GWRMP,6047.7041
HQ,2000_9,SF,GWRMP,6007.8028
HQ,2001_5,SF,GWRMP,6010.0526
HQ,2001_6,SF,GWRMP,6174.2828
HQ,2001_7,SF,GWRMP,6060.0981
HQ,2001_8,SF,GWRMP,6127.0759
HQ,2001_9,SF,GWRMP,5985.9188
HQ,2002_5,SF,GWRMP,6109.1713
HQ,2002_6,SF,GWRMP,6107.8706
HQ,2002_7,SF,GWRMP,6045.81
HQ,2002_8,SF,GWRMP,6067.4612
HQ,2002_9,SF,GWRMP,6003.0605
HQ,2003_5,SF,GWRMP,6011.6406
HQ,2003_6,SF,GWRMP,6052.682
HQ,2003_7,SF,GWRMP,6097.1847
HQ,2003_8,SF,GWRMP,6028.2282
HQ,2003_9,SF,GWRMP,6012.0198
HQ,2004_5,SF,GWRMP,6064.4127
HQ,2004_6,SF,GWRMP,6094.0075
HQ,2004_7,SF,GWRMP,6041.2878
HQ,2004_8,SF,GWRMP,6019.6346
HQ,2004_9,SF,GWRMP,6014.3165
HQ,2005_5,SF,GWRMP,6030.4485
HQ,2005_6,SF,GWRMP,6011.5621
HQ,2005_7,SF,GWRMP,6104.3787
HQ,2005_8,SF,GWRMP,6078.3252
HQ,2005_9,SF,GWRMP,6029.0019
HQ,2006_5,SF,GWRMP,6055.4431
HQ,2006_6,SF,GWRMP,6032.6607
HQ,2006_7,SF,GWRMP,6140.1338
HQ,2006_8,SF,GWRMP,6003.19
HQ,2006_9,SF,GWRMP,6040.759
HQ,2007_5,SF,GWRMP,6023.6012
HQ,2007_6,SF,GWRMP,6041.9105
HQ,2007_7,SF,GWRMP,6091.5799
HQ,2007_8,SF,GWRMP,6040.4526
HQ,2007_9,SF,GWRMP,6073.3946
HQ,2008_5,SF,GWRMP,6065.3328
HQ,2008_6,SF,GWRMP,6171.0833
HQ,2008_7,SF,GWRMP,6059.3058
HQ,2008_8,SF,GWRMP,6043.9689
HQ,2008_9,SF,GWRMP,6030.2996
HQ,2009_5,SF,GWRMP,6012.0778
HQ,2009_6,SF,GWRMP,6116.7277
HQ,2009_7,SF,GWRMP,6168.5438
HQ,2009_8,SF,GWRMP,6076.795
HQ,2009_9,SF,GWRMP,6018.0124
HQ,2010_5,SF,GWRMP,6026.9509
HQ,2010_6,SF,GWRMP,6022.8503
HQ,2010_7,SF,GWRMP,6139.4913
HQ,2010_8,SF,GWRMP,6039.8188
HQ,2010_9,SF,GWRMP,6040.7395
HQ,2011_5,SF,GWRMP,6002.7303
HQ,2011_6,SF,GWRMP,6210.4784
HQ,2011_7,SF,GWRMP,6085.2871
HQ,2011_8,SF,GWRMP,6149.4246
HQ,2011_9,SF,GWRMP,5990.7552
HQ,2012_5,SF,GWRMP,6061.9872
HQ,2012_6,SF,GWRMP,6044.0006
HQ,2012_7,SF,GWRMP,6062.8641
HQ,2012_8,SF,GWRMP,6150.9985
HQ,2012_9,SF,GWRMP,6037.3176
HQ,2013_5,SF,GWRMP,6070.12
HQ,2013_6,SF,GWRMP,6078.8829
HQ,2013_7,SF,GWRMP,6039.0939
HQ,2013_8,SF,GWRMP,6039.2691
HQ,2013_9,SF,GWRMP,6014.6375
HQ,2014_5,SF,GWRMP,6036.5191
HQ,2014_6,SF,GWRMP,6084.6395
HQ,2014_7,SF,GWRMP,6128.7304
HQ,2014_8,SF,GWRMP,6113.0941
HQ,2014_9,SF,GWRMP,6028.9182
HQ,2015_5,SF,GWRMP,6068.0253
HQ,2015_6,SF,GWRMP,6248.4803
HQ,2015_7,SF,GWRMP,6088.3284
HQ,2015_8,SF,GWRMP,6068.2369
HQ,2015_9,SF,GWRMP,6054.6006
HQ,2016_5,SF,GWRMP,6123.1411
HQ,2016_6,SF,GWRMP,6233.8603
HQ,2016_7,SF,GWRMP,6132.7704
HQ,2016_8,SF,GWRMP,6019.4529
HQ,2016_9,SF,GWRMP,6169.7458
HX,1979_5,SF,GWRMP,5579.1326
HX,1979_6,SF,GWRMP,5650.1263
HX,1979_7,SF,GWRMP,5643.6237
HX,1979_8,SF,GWRMP,5572.2515
HX,1979_9,SF,GWRMP,5583.1602
HX,1980_5,SF,GWRMP,5590.8033
HX,1980_6,SF,GWRMP,5645.8303
HX,1980_7,SF,GWRMP,5693.4155
HX,1980_8,SF,GWRMP,5705.3809
HX,1980_9,SF,GWRMP,5582.1007
HX,1981_5,SF,GWRMP,5575.2718
HX,1981_6,SF,GWRMP,5627.5729
HX,1981_7,SF,GWRMP,5657.0278
HX,1981_8,SF,GWRMP,5588.0557
HX,1981_9,SF,GWRMP,5568.6018
HX,1982_5,SF,GWRMP,5551.9778
HX,1982_6,SF,GWRMP,5610.3023
HX,1982_7,SF,GWRMP,5733.8865
HX,1982_8,SF,GWRMP,5597.9126
HX,1982_9,SF,GWRMP,5554.0328
HX,1983_5,SF,GWRMP,5608.0065
HX,1983_6,SF,GWRMP,5680.1553
HX,1983_7,SF,GWRMP,5637.3367
HX,1983_8,SF,GWRMP,5550.4138
HX,1983_9,SF,GWRMP,5635.0784
HX,1984_5,SF,GWRMP,5589.0883
HX,1984_6,SF,GWRMP,5703.9883
HX,1984_7,SF,GWRMP,5602.8827
HX,1984_8,SF,GWRMP,5604.9853
HX,1984_9,SF,GWRMP,5638.6238
HX,1985_5,SF,GWRMP,5626.0085
HX,1985_6,SF,GWRMP,5608.7052
HX,1985_7,SF,GWRMP,5641.3578
HX,1985_8,SF,GWRMP,5597.5846
HX,1985_9,SF,GWRMP,5595.5329
HX,1986_5,SF,GWRMP,5562.135
HX,1986_6,SF,GWRMP,5670.809
HX,1986_7,SF,GWRMP,5628.9105
HX,1986_8,SF,GWRMP,5588.1961
HX,1986_9,SF,GWRMP,5569.6932
HX,1987_5,SF,GWRMP,5596.3468
HX,1987_6,SF,GWRMP,5595.7415
HX,1987_7,SF,GWRMP,5790.9195
HX,1987_8,SF,GWRMP,5673.8573
HX,1987_9,SF,GWRMP,5557.3619
HX,1988_5,SF,GWRMP,5615.4004
HX,1988_6,SF,GWRMP,5631.3083
HX,1988_7,SF,GWRMP,5636.4952
HX,1988_8,SF,GWRMP,5569.8236
HX,1988_9,SF,GWRMP,5608.1007
HX,1989_5,SF,GWRMP,5588.1066
HX,1989_6,SF,GWRMP,5608.9886
HX,1989_7,SF,GWRMP,5657.265
HX,1989_8,SF,GWRMP,5678.5927
HX,1989_9,SF,GWRMP,5617.9351
HX,1990_5,SF,GWRMP,5582.4864
HX,1990_6,SF,GWRMP,5633.4495
HX,1990_7,SF,GWRMP,5586.0472
HX,1990_8,SF,GWRMP,5647.6185
HX,1990_9,SF,GWRMP,5588.0543
HX,1991_5,SF,GWRMP,5599.2642
HX,1991_6,SF,GWRMP,5777.8648
HX,1991_7,SF,GWRMP,5798.9003
HX,1991_8,SF,GWRMP,5621.0471
HX,1991_9,SF,GWRMP,5608.3812
HX,1992_5,SF,GWRMP,5571.2752
