region,date,metrics,type,value,value1
HX,1989_7,EN,GWRMP,3.4213,3.4213
HX,1989_8,EN,GWRMP,3.2067,3.2067
HX,1989_9,EN,GWRMP,3.1171,3.1171
HX,1990_5,EN,GWRMP,2.2108,2.2108
HX,1990_6,EN,GWRMP,2.6074,2.6074
HX,1990_7,EN,GWRMP,2.3176,2.3176
HX,1990_8,EN,GWRMP,3.2303,3.2303
HX,1990_9,EN,GWRMP,2.7796,2.7796
HX,1991_5,EN,GWRMP,2.3978,2.3978
HX,1991_6,EN,GWRMP,3.5384,3.5384
HX,1991_7,EN,GWRMP,3.5189,3.5189
HX,1991_8,EN,GWRMP,3.3598,3.3598
HX,1991_9,EN,GWRMP,2.622,2.622
HX,1992_5,EN,GWRMP,1.9927,1.9927
HX,1992_6,EN,GWRMP,2.4307,2.4307
HX,1992_7,EN,GWRMP,2.6801,2.6801
HX,1992_8,EN,GWRMP,3.2227,3.2227
HX,1992_9,EN,GWRMP,3.3359,3.3359
HX,1993_5,EN,GWRMP,2.482,2.482
HX,1993_6,EN,GWRMP,2.7441,2.7441
HX,1993_7,EN,GWRMP,3.1887,3.1887
HX,1993_8,EN,GWRMP,3.5924,3.5924
HX,1993_9,EN,GWRMP,2.7506,2.7506
HX,1994_5,EN,GWRMP,2.3681,2.3681
HX,1994_6,EN,GWRMP,2.5582,2.5582
HX,1994_7,EN,GWRMP,2.5577,2.5577
HX,1994_8,EN,GWRMP,2.6558,2.6558
HX,1994_9,EN,GWRMP,1.9438,1.9438
HX,1995_5,EN,GWRMP,2.7222,2.7222
HX,1995_6,EN,GWRMP,2.7002,2.7002
HX,1995_7,EN,GWRMP,2.6786,2.6786
HX,1995_8,EN,GWRMP,3.3389,3.3389
HX,1995_9,EN,GWRMP,1.5753,1.5753
HX,1996_5,EN,GWRMP,2.3248,2.3248
HX,1996_6,EN,GWRMP,2.9682,2.9682
HX,1996_7,EN,GWRMP,3.0064,3.0064
HX,1996_8,EN,GWRMP,2.4458,2.4458
HX,1996_9,EN,GWRMP,2.0621,2.0621
HX,1997_5,EN,GWRMP,2.8166,2.8166
HX,1997_6,EN,GWRMP,2.9689,2.9689
HX,1997_7,EN,GWRMP,2.4727,2.4727
HX,1997_8,EN,GWRMP,2.8243,2.8243
HX,1997_9,EN,GWRMP,1.4715,1.4715
HX,1998_5,EN,GWRMP,2.0677,2.0677
HX,1998_6,EN,GWRMP,2.6792,2.6792
HX,1998_7,EN,GWRMP,3.2377,3.2377
HX,1998_8,EN,GWRMP,2.2955,2.2955
HX,1998_9,EN,GWRMP,3.3254,3.3254
HX,1999_5,EN,GWRMP,2.2863,2.2863
HX,1999_6,EN,GWRMP,3.871,3.871
HX,1999_7,EN,GWRMP,2.4873,2.4873
HX,1999_8,EN,GWRMP,3.0543,3.0543
HX,1999_9,EN,GWRMP,2.224,2.224
HX,2000_5,EN,GWRMP,3.1272,3.1272
HX,2000_6,EN,GWRMP,3.0004,3.0004
HX,2000_7,EN,GWRMP,2.8529,2.8529
HX,2000_8,EN,GWRMP,2.9024,2.9024
HX,2000_9,EN,GWRMP,2.2969,2.2969
